,1위,2위,3위
181,LG이노텍,솔루엠,엠씨넥스
182,금호석유,DB하이텍,롯데정밀화학
183,DL건설,코오롱글로벌,LX인터내셔널
184,크래프톤,SK바이오사이언스,동아쏘시오홀딩스
185,DL건설,LG,코오롱글로벌
186,에스디바이오센서,다우기술,동원산업
187,크래프톤,다우기술,에스원
188,LG전자,대상,DL건설
189,SK하이닉스,DB하이텍,LG전자
190,LG전자,대상,LG디스플레이
191,DL건설,코오롱글로벌,LX인터내셔널
192,코웨이,쿠쿠홈시스,한국콜마
193,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
194,DB하이텍,해성디에스,한미반도체
195,LG전자,대상,삼성전자
196,SK하이닉스,DB하이텍,LG전자
197,LG전자,대상,DL건설
198,DL건설,크래프톤,LX인터내셔널
199,DL건설,코오롱글로벌,LX인터내셔널
200,금호석유,롯데정밀화학,LG전자
201,SK하이닉스,SK바이오사이언스,에스디바이오센서
202,LG전자,LG디스플레이,LG이노텍
203,LG전자,SK아이이테크놀로지,대상
204,에스디바이오센서,다우기술,동원산업
205,LG전자,SK바이오사이언스,대상
206,현대글로비스,HMM,제주항공
207,대상,크래프톤,CJ제일제당
208,SK바이오사이언스,동아쏘시오홀딩스,SK바이오팜
209,코웨이,쿠쿠홈시스,한국콜마
210,LG전자,대상,DL건설
211,DL건설,대상,에스디바이오센서
212,LG전자,대상,SK바이오사이언스
213,LG전자,대상,LG디스플레이
214,LG전자,대상,DL건설
215,LG전자,대상,DL건설
216,대상,LG전자,DL건설
217,크래프톤,다우기술,더블유게임즈
218,동아쏘시오홀딩스,프레스티지바이오파마,종근당
219,에스디바이오센서,다우기술,동원산업
220,키움증권,삼성증권,미래에셋증권
221,키움증권,삼성증권,NH투자증권
222,LG전자,대상,DL건설
223,LG전자,대상,DL건설
224,동아쏘시오홀딩스,LG전자,SK바이오사이언스
225,동아쏘시오홀딩스,SK아이이테크놀로지,SK바이오사이언스
226,하이브,SBS,LG전자
227,크래프톤,다우기술,더블유게임즈
228,대상,DL건설,크래프톤
229,LG전자,대상,DL건설
230,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
231,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
232,LG전자,LG디스플레이,SK아이이테크놀로지
233,대상,DL건설,크래프톤
234,대상,DL건설,크래프톤
235,하이브,제일기획,SBS
236,LG전자,대상,LG디스플레이
237,대상,동원산업,동아쏘시오홀딩스
238,LG전자,대상,DL건설
239,LG이노텍,솔루엠,엠씨넥스
240,LG전자,대상,DL건설
241,LG전자,대상,LG디스플레이
242,LG디스플레이,LG전자,대상
243,현대글로비스,제주항공,금호석유
244,LG전자,대상,DL건설
245,크래프톤,다우기술,더블유게임즈
246,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
247,LG전자,대상,DL건설
248,LG전자,대상,DL건설
249,LG전자,대상,삼성전자
250,크래프톤,다우기술,더블유게임즈
251,에스디바이오센서,다우기술,동원산업
252,삼성전자,LG전자,대상
253,DL건설,금호석유,SK하이닉스
254,SK하이닉스,BGF리테일,DB하이텍
255,DL건설,코오롱글로벌,LX인터내셔널
256,SK하이닉스,DB하이텍,DL건설
257,SK하이닉스,DB하이텍,LG전자
258,에스디바이오센서,다우기술,동원산업
259,LG전자,대상,LG디스플레이
260,에스디바이오센서,다우기술,동원산업
261,SK바이오사이언스,동아쏘시오홀딩스,LG전자
262,LG전자,대상,LG디스플레이
263,에스디바이오센서,다우기술,동원산업
264,LG이노텍,엠씨넥스,삼성전기
265,에스디바이오센서,다우기술,동원산업
266,LG전자,대상,삼성전자
267,LG전자,대상,삼성전자
268,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
269,LG전자,대상,DL건설
270,하이브,SBS,제일기획
271,대상,LG디스플레이,DL건설
272,동아쏘시오홀딩스,프레스티지바이오파마,종근당
273,현대글로비스,DL건설,제주항공
274,대상,DL건설,크래프톤
275,SK하이닉스,DB하이텍,해성디에스
276,LG전자,대상,삼성전자
277,LG이노텍,DL건설,솔루엠
278,DL건설,LG,코오롱글로벌
279,DB하이텍,해성디에스,LG전자
280,SK하이닉스,DB하이텍,해성디에스
281,SK하이닉스,DB하이텍,LG전자
282,에스디바이오센서,다우기술,동원산업
283,DL건설,대상,에스디바이오센서
284,SK하이닉스,DL건설,DB하이텍
285,SK하이닉스,DB하이텍,해성디에스
286,코웨이,쿠쿠홈시스,한국콜마
287,DB하이텍,해성디에스,한미반도체
288,SK하이닉스,LG전자,대상
289,SK아이이테크놀로지,삼화콘덴서,삼성SDI
290,동아쏘시오홀딩스,프레스티지바이오파마,코웨이
291,삼성전자,SK하이닉스,LG전자
292,동아쏘시오홀딩스,대상,프레스티지바이오파마
293,SK바이오사이언스,동아쏘시오홀딩스,삼성전자
294,LG전자,대상,DL건설
295,대상,CJ제일제당,동원산업
296,LG전자,대상,DL건설
297,일진하이솔루스,현대모비스,기아
298,삼성전자,SK하이닉스,DL건설
299,LG이노텍,솔루엠,엠씨넥스
300,대상,DL건설,크래프톤
301,LG디스플레이,금호석유,롯데정밀화학
302,SK아이이테크놀로지,하이브,대상
303,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
304,크래프톤,다우기술,DL건설
305,크래프톤,LG디스플레이,다우기술
306,LG디스플레이,금호석유,롯데정밀화학
307,현대글로비스,제주항공,롯데렌탈
308,에스디바이오센서,동아쏘시오홀딩스,SK바이오사이언스
309,LG전자,동아쏘시오홀딩스,프레스티지바이오파마
310,LG전자,대상,삼성전자
311,LG전자,대상,삼성전자
312,현대모비스,기아,LG전자
313,LG전자,대상,DL건설
314,DL건설,코오롱글로벌,LG전자
315,해성디에스,한미반도체,LG전자
316,LG전자,대상,DL건설
317,DL건설,코오롱글로벌,LX인터내셔널
318,LG이노텍,삼성전기,솔루엠
319,금호석유,롯데정밀화학,하이브
320,SK하이닉스,DL건설,DB하이텍
321,SK하이닉스,DB하이텍,해성디에스
322,SK하이닉스,키움증권,DB하이텍
323,SK하이닉스,DB하이텍,해성디에스
324,크래프톤,LG전자,다우기술
325,에스디바이오센서,다우기술,동원산업
326,DL건설,LG전자,대상
327,LG이노텍,엠씨넥스,삼성전기
328,키움증권,삼성증권,미래에셋증권
329,DL건설,코오롱글로벌,LX인터내셔널
330,DL건설,LG디스플레이,코오롱글로벌
331,LG전자,대상,DL건설
332,LG전자,대상,LG디스플레이
333,DL건설,LG이노텍,삼성전자
334,LG전자,하이브,대상
335,LG이노텍,엠씨넥스,삼성전기
336,LG전자,대상,삼성전자
337,DL건설,코오롱글로벌,LX인터내셔널
338,LG이노텍,DL건설,솔루엠
339,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
340,DL건설,크래프톤,LG이노텍
341,LG전자,대상,DL건설
342,DL건설,LX인터내셔널,코오롱글로벌
343,SK바이오사이언스,LG전자,코웨이
344,DL건설,대상,에스디바이오센서
345,LG전자,대상,DL건설
346,크래프톤,다우기술,더블유게임즈
347,SK바이오사이언스,동아쏘시오홀딩스,LG전자
348,에스디바이오센서,다우기술,동원산업
349,DL건설,코오롱글로벌,LX인터내셔널
350,에스디바이오센서,다우기술,동원산업
351,LG전자,SK바이오사이언스,동아쏘시오홀딩스
352,DL건설,코오롱글로벌,LX인터내셔널
353,DB하이텍,해성디에스,한미반도체
354,LG전자,SK아이이테크놀로지,키움증권
355,크래프톤,DB하이텍,LG전자
356,에스디바이오센서,다우기술,동원산업
357,해성디에스,한미반도체,LG전자
358,LG전자,대상,DL건설
359,SK하이닉스,DB하이텍,해성디에스
360,LG전자,SK아이이테크놀로지,대상
361,SK바이오사이언스,동아쏘시오홀딩스,DL건설
362,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
363,SK하이닉스,DL건설,코오롱글로벌
364,LG전자,대상,삼성전자
365,LG전자,대상,LG디스플레이
366,동아쏘시오홀딩스,DL건설,SK바이오사이언스
367,동아쏘시오홀딩스,SK바이오팜,종근당
368,DL건설,대상,에스디바이오센서
369,SK디스커버리,LG전자,GS
370,SK하이닉스,삼성전자,해성디에스
371,LG이노텍,엠씨넥스,삼성전기
372,에스디바이오센서,다우기술,동원산업
373,LG전자,대상,DL건설
374,LG전자,대상,LG디스플레이
375,금호석유,롯데정밀화학,DB손해보험
376,에스디바이오센서,다우기술,동원산업
377,에스디바이오센서,덴티움,LG전자
378,대상,동원산업,동아쏘시오홀딩스
379,삼성전자,SK하이닉스,LG전자
380,LG전자,대상,DL건설
381,SK하이닉스,크래프톤,LG전자
382,LG이노텍,삼성전기,솔루엠
383,에스디바이오센서,다우기술,동원산업
384,하이브,LG전자,금호석유
385,LG전자,대상,삼성SDI
386,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
387,LG이노텍,SK바이오사이언스,동아쏘시오홀딩스
388,LG전자,대상,삼성전자
389,LG전자,SK아이이테크놀로지,금호석유
390,LG전자,SK아이이테크놀로지,삼화콘덴서
391,키움증권,삼성증권,NH투자증권
392,LG이노텍,솔루엠,엠씨넥스
393,금호석유,롯데정밀화학,LG전자
394,DB하이텍,해성디에스,한미반도체
395,금호석유,LG전자,대상
396,LG전자,대상,삼성전자
397,DL건설,SK바이오사이언스,동아쏘시오홀딩스
398,LG전자,대상,LG이노텍
399,SK하이닉스,DB하이텍,해성디에스
400,LG전자,일진하이솔루스,현대모비스
401,크래프톤,다우기술,LG이노텍
402,SK디스커버리,GS,S-Oil
403,일진하이솔루스,현대모비스,기아
404,크래프톤,SK하이닉스,BGF리테일
405,금호석유,롯데정밀화학,현대글로비스
406,LG디스플레이,코웨이,LG전자
407,금호석유,SK바이오사이언스,동아쏘시오홀딩스
408,에스디바이오센서,다우기술,동원산업
409,LG전자,대상,DL건설
410,에스디바이오센서,다우기술,동원산업
411,LG이노텍,엠씨넥스,삼성전기
412,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
413,하나투어,GKL,롯데관광개발
414,SK하이닉스,DB하이텍,해성디에스
415,에스디바이오센서,다우기술,동원산업
416,LG전자,LG이노텍,솔루엠
417,SK하이닉스,DB하이텍,LG전자
418,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
419,현대글로비스,제주항공,롯데렌탈
420,LG전자,대상,삼성전자
421,LG이노텍,솔루엠,엠씨넥스
422,동아쏘시오홀딩스,프레스티지바이오파마,SK바이오팜
423,대상,동원산업,KT&G
424,DL건설,금호석유,LX인터내셔널
425,금호석유,대상,롯데정밀화학
426,에스디바이오센서,다우기술,동원산업
427,크래프톤,다우기술,더블유게임즈
428,LG전자,대상,DL건설
429,DB하이텍,해성디에스,대상
430,에스디바이오센서,다우기술,동원산업
431,LG전자,대상,LG디스플레이
432,대상,LG이노텍,SK바이오사이언스
433,LG전자,대상,DL건설
434,금호석유,동아쏘시오홀딩스,롯데정밀화학
435,LG전자,DB하이텍,SK아이이테크놀로지
436,SK하이닉스,DB하이텍,LG전자
437,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
438,금호석유,롯데정밀화학,유니드
439,크래프톤,금호석유,다우기술
440,대상,동원산업,CJ제일제당
441,일진하이솔루스,한국단자,한국타이어앤테크놀로지
442,에스디바이오센서,SK하이닉스,LG전자
443,LG전자,대상,DL건설
444,DB하이텍,해성디에스,한미반도체
445,SK하이닉스,금호석유,DB하이텍
446,LG전자,대상,DL건설
447,SK하이닉스,DB하이텍,해성디에스
448,SK디스커버리,S-Oil,SK이노베이션
449,금호석유,롯데정밀화학,유니드
450,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
451,크래프톤,다우기술,BGF리테일
452,대상,금호석유,CJ제일제당
453,DL건설,LG전자,코오롱글로벌
454,삼성전자,SK하이닉스,DB하이텍
455,크래프톤,다우기술,SK바이오사이언스
456,DL건설,코오롱글로벌,LX인터내셔널
457,일진하이솔루스,금호석유,기아
458,에스디바이오센서,다우기술,동원산업
459,에스디바이오센서,다우기술,동원산업
460,LG전자,대상,DL건설
461,LG전자,크래프톤,다우기술
462,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
463,SK하이닉스,해성디에스,한미반도체
464,SK하이닉스,DB하이텍,해성디에스
465,LG전자,대상,LG디스플레이
466,금호석유,동아쏘시오홀딩스,SK바이오사이언스
467,SK하이닉스,DB하이텍,해성디에스
468,크래프톤,다우기술,더블유게임즈
469,LG이노텍,솔루엠,엠씨넥스
470,대상,CJ제일제당,동원산업
471,금호석유,롯데정밀화학,유니드
472,금호석유,LG전자,대상
473,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
474,SK하이닉스,DB하이텍,해성디에스
475,하이브,제일기획,LG헬로비전
476,SK하이닉스,DB하이텍,해성디에스
477,SK하이닉스,DB하이텍,해성디에스
478,DL건설,LG,코오롱글로벌
479,동아쏘시오홀딩스,프레스티지바이오파마,종근당
480,DL건설,코오롱글로벌,LX인터내셔널
481,LG전자,현대글로비스,대상
482,에스디바이오센서,다우기술,동원산업
483,SK하이닉스,DB하이텍,해성디에스
484,DL건설,LX인터내셔널,코오롱글로벌
485,LG이노텍,LG전자,삼성전기
486,LG전자,SBS,하이브
487,DL건설,SK바이오사이언스,코오롱글로벌
488,LG전자,대상,DL건설
489,BGF리테일,LG전자,GS리테일
490,대상,DL건설,크래프톤
491,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
492,SK하이닉스,DB하이텍,해성디에스
493,SK디스커버리,SK이노베이션,GS
494,SK바이오사이언스,LG전자,동아쏘시오홀딩스
495,DB하이텍,해성디에스,한미반도체
496,하이브,SBS,제일기획
497,금호석유,롯데정밀화학,유니드
498,SK가스,DL건설,부산가스
499,금호석유,롯데정밀화학,유니드
500,일진하이솔루스,현대모비스,기아
501,LG전자,대상,DL건설
502,LG전자,대상,DL건설
503,삼성전자,SK하이닉스,LG이노텍
504,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
505,금호석유,롯데정밀화학,유니드
506,대상,CJ제일제당,금호석유
507,LG전자,대상,DL건설
508,동아쏘시오홀딩스,LG이노텍,프레스티지바이오파마
509,코웨이,동아쏘시오홀딩스,LG전자
510,엠씨넥스,솔루엠,LG이노텍
511,LG전자,대상,DL건설
512,LG전자,대상,DL건설
513,SK하이닉스,DB하이텍,해성디에스
514,SK아이이테크놀로지,삼화콘덴서,삼성SDI
515,현대글로비스,제주항공,롯데렌탈
516,DB하이텍,해성디에스,한미반도체
517,LG전자,대상,동아쏘시오홀딩스
518,현대글로비스,제주항공,롯데렌탈
519,현대글로비스,제주항공,롯데렌탈
520,LG전자,대상,DL건설
521,LG전자,DL건설,코오롱글로벌
522,LG전자,대상,DL건설
523,금호석유,키움증권,롯데정밀화학
524,LG전자,대상,DL건설
525,에스디바이오센서,LG전자,대상
526,DL건설,코오롱글로벌,LX인터내셔널
527,DB손해보험,LG전자,대상
528,에스디바이오센서,다우기술,동원산업
529,LG전자,대상,삼성전자
530,LG이노텍,삼성전기,솔루엠
531,DL건설,SK바이오사이언스,크래프톤
532,LG전자,대상,DL건설
533,대상,CJ제일제당,LG전자
534,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
535,LG이노텍,솔루엠,엠씨넥스
536,에스디바이오센서,다우기술,동원산업
537,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
538,SK하이닉스,DB하이텍,해성디에스
539,금호석유,SK바이오사이언스,크래프톤
540,동아쏘시오홀딩스,프레스티지바이오파마,서흥
541,키움증권,삼성증권,NH투자증권
542,엠씨넥스,LG이노텍,삼성전기
543,DL건설,대상,에스디바이오센서
544,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
545,엠씨넥스,솔루엠,크래프톤
546,LG전자,대상,삼성전자
547,LG디스플레이,LG전자,SK바이오사이언스
548,삼성전자,SK바이오사이언스,LG이노텍
549,LG전자,대상,삼성전자
550,대상,LG전자,동원산업
551,SBS,크래프톤,제일기획
552,LG이노텍,DL건설,삼성전기
553,LG전자,대상,삼성전자
554,LG전자,대상,삼성전자
555,LG전자,대상,DB하이텍
556,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
557,에스디바이오센서,다우기술,동원산업
558,삼성전자,SK하이닉스,LG이노텍
559,에스디바이오센서,다우기술,동원산업
560,SK바이오사이언스,동아쏘시오홀딩스,금호석유
561,현대글로비스,제주항공,롯데렌탈
562,SK아이이테크놀로지,삼화콘덴서,DL건설
563,금호석유,롯데정밀화학,유니드
564,에스디바이오센서,다우기술,동원산업
565,DL건설,코웨이,쿠쿠홈시스
566,LG이노텍,솔루엠,엠씨넥스
567,LG전자,금호석유,대상
568,솔루엠,엠씨넥스,영풍
569,에스디바이오센서,다우기술,동원산업
570,삼성전자,SK하이닉스,LG전자
571,크래프톤,다우기술,더블유게임즈
572,하이브,SBS,제일기획
573,LG전자,대상,삼성전자
574,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
575,LG전자,대상,에스디바이오센서
576,엠씨넥스,솔루엠,LG이노텍
577,동아쏘시오홀딩스,크래프톤,프레스티지바이오파마
578,LG전자,SK하이닉스,대상
579,에스디바이오센서,다우기술,동원산업
580,LG전자,금호석유,SK아이이테크놀로지
581,크래프톤,다우기술,더블유게임즈
582,SK바이오사이언스,동아쏘시오홀딩스,DL건설
583,코웨이,LG생활건강,한국콜마
584,DL건설,대상,에스디바이오센서
585,LG전자,대상,DL건설
586,LG전자,대상,LG디스플레이
587,크래프톤,LG전자,대상
588,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
589,DL건설,코오롱글로벌,LX인터내셔널
590,SK하이닉스,LG전자,대상
591,에스디바이오센서,다우기술,동원산업
592,DL건설,SK바이오사이언스,코오롱글로벌
593,LG전자,SK아이이테크놀로지,삼성SDI
594,에스디바이오센서,금호석유,LG전자
595,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
596,크래프톤,다우기술,더블유게임즈
597,LG전자,우리종금,DL건설
598,금호석유,일진하이솔루스,현대모비스
599,엠씨넥스,솔루엠,LG이노텍
600,LG전자,대상,삼성전자
601,LG전자,대상,DL건설
602,현대글로비스,제주항공,롯데렌탈
603,LG디스플레이,LG전자,LG이노텍
604,동아쏘시오홀딩스,SK바이오사이언스,프레스티지바이오파마
605,일진하이솔루스,현대모비스,기아
606,DL건설,LX인터내셔널,코오롱글로벌
607,동아쏘시오홀딩스,프레스티지바이오파마,종근당
608,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
609,DL건설,LX인터내셔널,코오롱글로벌
610,DL건설,코오롱글로벌,LX인터내셔널
611,해성디에스,LG전자,한미반도체
612,에스디바이오센서,다우기술,동원산업
613,LG전자,대상,삼성전자
614,LG전자,대상,DL건설
615,하이브,제일기획,LG헬로비전
616,코웨이,쿠쿠홈시스,한국콜마
617,크래프톤,동아쏘시오홀딩스,프레스티지바이오파마
618,DL건설,코오롱글로벌,LX인터내셔널
619,SK바이오사이언스,동아쏘시오홀딩스,프레스티지바이오파마
620,LG전자,대상,DL건설
621,현대글로비스,제주항공,롯데렌탈
622,크래프톤,다우기술,더블유게임즈
623,SK하이닉스,DB하이텍,해성디에스
624,일진하이솔루스,현대모비스,기아
625,LG디스플레이,LG전자,대상
626,LG전자,대상,삼성전자
627,DL건설,코오롱글로벌,금호석유
628,LG전자,엠씨넥스,솔루엠
629,LG전자,대상,DL건설
630,금호석유,SK디스커버리,GS
631,LG전자,대상,LG디스플레이
632,LG전자,대상,DL건설
633,동아쏘시오홀딩스,SK바이오팜,셀트리온
634,DL건설,코오롱글로벌,LX인터내셔널
635,DL건설,코오롱글로벌,LX인터내셔널
636,LG전자,대상,DL건설
